date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:24:26	4366/4366	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2006%20Feb%202026%2011:54:27%20GMT	https://colosseum.com/robots.txt		(from )
17:24:26	1689159/1689159	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Feb%202026%2011:54:27%20GMT	https://colosseum.com/breakout	C:/Users/JasD/OneDrive/Desktop/website/hackwavev1/colosseum.com/breakout.html	(from )
17:24:27	489/489	---M--	200	added ('OK')	image/png	etag:%226b6490c40432fef842e436fafcaf7f36%22	https://colosseum.com/favicon.png	C:/Users/JasD/OneDrive/Desktop/website/hackwavev1/colosseum.com/favicon.png	(from https://colosseum.com/breakout)
17:24:27	140492/140492	---MCZ	200	added ('OK')	text/css	etag:W/%22857e8bd204bf9b0bb2c798f07962f9be%22	https://colosseum.com/_app/immutable/assets/0.9b3ce464.css	C:/Users/JasD/OneDrive/Desktop/website/hackwavev1/colosseum.com/_app/immutable/assets/0.9b3ce464.css	(from https://colosseum.com/breakout)
17:24:27	795/795	---MCZ	200	added ('OK')	text/css	etag:W/%229217ba9ab53995d7881e35516b599f95%22	https://colosseum.com/_app/immutable/assets/Modal.b83201c6.css	C:/Users/JasD/OneDrive/Desktop/website/hackwavev1/colosseum.com/_app/immutable/assets/Modal.b83201c6.css	(from https://colosseum.com/breakout)
17:24:27	81/81	---MCZ	200	added ('OK')	text/css	etag:W/%225bc0037e3b313a7d40c0d6c2d6e07771%22	https://colosseum.com/_app/immutable/assets/2.6a7550ae.css	C:/Users/JasD/OneDrive/Desktop/website/hackwavev1/colosseum.com/_app/immutable/assets/2.6a7550ae.css	(from https://colosseum.com/breakout)
17:24:27	485/485	---MCZ	200	added ('OK')	text/css	etag:W/%22b2b5dfe7d85b4c40bb3c9fb990f81f2d%22	https://colosseum.com/_app/immutable/assets/10.e54beb10.css	C:/Users/JasD/OneDrive/Desktop/website/hackwavev1/colosseum.com/_app/immutable/assets/10.e54beb10.css	(from https://colosseum.com/breakout)
17:24:30	200611/200611	---M--	200	added ('OK')	image/png	etag:%2256c8364e9a91eb9d657236c4d108da5f%22	https://colosseum.com/images/breakout/hero-explosive.png	C:/Users/JasD/OneDrive/Desktop/website/hackwavev1/colosseum.com/images/breakout/hero-explosive.png	(from https://colosseum.com/breakout)
17:24:30	220407/220407	---M--	200	added ('OK')	image/png	etag:%22ee9ba354cd969208a4da4e4388fc4ab2%22	https://colosseum.com/images/breakout/hero-character-1.png	C:/Users/JasD/OneDrive/Desktop/website/hackwavev1/colosseum.com/images/breakout/hero-character-1.png	(from https://colosseum.com/breakout)
17:24:30	1494148/1494148	---M--	200	added ('OK')	image/png	etag:%228277864420e6a161289ae20459afe030%22	https://static.narrative-violation.com/breakout-social@2x.png	C:/Users/JasD/OneDrive/Desktop/website/hackwavev1/static.narrative-violation.com/breakout-social@2x.png	(from https://colosseum.com/breakout)
